gen,nevals,avg,max,std
0,167,-2.299424631900932,78.91308784788461,12.492897131320053
1,167,9.876470636049335,91.6614080566111,26.2162251253849
2,167,33.248382384332245,83.50389670069913,33.36133804836255
3,167,47.82834101357599,89.93250722564369,30.428731127233984
4,167,51.60434366363311,83.49692357917681,30.556450472185066
5,167,61.83959065201318,83.40986217266972,25.966519862967033
6,167,60.84733033456008,83.66863776848967,27.631533004011153
7,167,63.71707618953526,91.87321909793997,24.80405665335293
8,167,62.560410675938776,83.6409837988308,25.308526923040194
9,167,66.77795274393232,90.5564671942728,19.721607963335224
10,167,64.6348377353093,88.08882361260098,22.456513996137314
11,167,63.73801563292063,88.93263431078026,23.30606754839873
12,167,63.93102310031666,83.56471956639555,24.555482473583368
13,167,64.46111211361328,83.90183337684505,25.843451746353843
14,167,69.29829879091946,90.9487364548416,18.513594265830424
15,167,68.62785503659612,83.5725018246661,18.063521600357582
16,167,70.09765941409246,83.62260155811313,15.531787602946771
17,167,60.42906218807934,83.24026896612128,27.513048959175276
18,167,68.46686281712604,82.04290901645273,19.217452192601414
19,167,61.635725369384666,83.39736328154336,24.31659846943777
20,167,63.18010423507231,83.5266058837016,25.107879933093994
21,167,65.72581817309651,83.60827280524066,22.956635905207808
22,167,65.65378245019917,79.4814996646417,19.05502071023072
23,167,68.57759895927927,79.46307211844712,16.63538077885593
24,167,70.05778684337868,83.59368506067369,14.565626714677698
25,167,67.30596740318403,83.62260155811313,19.298368353501516
26,167,64.76233488238543,83.49248151792446,21.184996362078593
27,167,69.34449044385974,84.26476195259951,15.016613306725313
28,167,63.05926716636242,83.61823991269108,22.114349775364726
29,167,70.00623948637782,83.62918060040188,16.967845099668114
