gen,nevals,avg,max,std
0,112,6.186072831735278,83.96650357514913,22.230296637222363
1,112,24.705064917309056,81.42529708385956,28.96306443303098
2,112,34.776383858351785,80.81160790834667,29.340690951000113
3,112,39.8169110922899,80.99126793956502,29.74383583289114
4,112,47.27147358756544,81.05597467839888,28.382330060979204
5,112,51.7876038179017,87.17230868192568,26.86864800932196
6,112,57.90262270504754,80.87160790834668,20.104492702060288
7,112,57.12551858877167,81.49683127193559,23.02364802798777
8,112,63.28784704572143,80.87937022547294,16.498904375035046
9,112,64.13384255366103,80.92975509918581,16.745712156676205
10,112,63.74088202798477,80.92635370912774,16.15959874817254
11,112,64.72403705946655,80.9370698616663,15.108430446921941
12,112,66.83100372191105,80.87937022547294,11.512966034275546
13,112,68.3420154166218,80.87937022547294,9.510919913341354
14,112,65.56188801421924,89.11978870100079,14.819832723047654
