gen,nevals,avg,max,std
0,100,6.710248279462118,79.63560256914256,21.97268747035144
1,100,19.729108907115446,80.81937022547294,26.767214752329398
2,100,37.4857667951824,91.29287892137675,29.98141290883957
3,100,35.8818250426747,81.23620343541687,32.20451947621427
4,100,42.82399622739782,80.93937022547293,31.0614734640402
5,100,56.772090279107886,81.16217740139005,22.696859728269168
6,100,58.24578195186144,81.00960374424464,23.735050691106768
7,100,61.622169558385046,80.87937022547294,19.074264747969014
8,100,60.33328996824229,80.9333173138023,21.698915987159282
9,100,64.03068030933308,87.1840707941653,17.016333192777456
10,100,67.78392618877997,87.23173676307721,12.355217937501422
11,100,67.6827454288844,83.8631335844001,11.31078534289991
12,100,65.46338126183389,81.06330124622434,15.033784553219705
13,100,64.45610829739496,80.87937022547294,19.796883222339286
14,100,66.38857733948608,80.94399469592291,12.331910727076668
