gen,nevals,avg,max,std
0,100,-1.0817835425899747,62.999589901574176,11.46272185957038
1,100,6.912804644498395,79.9071070281995,18.512688421438074
2,100,14.500011467830467,70.31634193883197,22.543569359403183
3,100,28.42492872758269,80.82832142986658,24.60928899547829
4,100,39.22658931944442,81.21569112247653,26.087448279610168
5,100,47.8747119933331,80.76880201264653,24.504451917249018
6,100,56.44536331146433,83.99061089768757,22.980284951304274
7,100,55.24416127356065,81.38000532825426,22.895247811615402
8,100,50.686605433419984,88.15749711356223,22.784582038264332
9,100,51.674927872554306,88.21811519969263,25.90400347553133
10,100,51.365678364537956,87.66589625112937,25.327988829293602
11,100,55.99908928882737,88.5340399359341,24.638029965782664
12,100,55.7092271431385,87.31764851736784,25.23434763032024
13,100,53.32963873531367,89.91275991306566,25.950365708051294
14,100,56.65595020222859,88.14561344241451,26.251295947446152
