gen,nevals,avg,max,std
0,100,6.9782352593254515,74.82808640969618,23.021207277202972
1,100,19.66218486459147,80.30048818200099,26.772699688603844
2,100,33.15573827726367,87.10976798219248,26.295846121774744
3,100,36.872680937028974,80.60373652833296,27.58366499003289
4,100,47.78936945038004,81.05133260847556,25.646579476483215
5,100,50.679892206781034,81.58200744838389,25.577023531264665
6,100,52.14221867851455,80.81002922645796,23.951590410009178
7,100,51.954244507624765,80.39666380935819,23.7726954350516
8,100,55.811902592975486,81.78913651240231,21.23921266163084
9,100,54.81719050930238,83.62364879471615,21.991420927116227
10,100,55.537370530710284,88.7600683069712,20.5490209140923
11,100,61.8095266146194,80.94359757574375,15.296664272861221
12,100,63.03223707260585,87.49611998832019,17.91764768858839
13,100,56.616890143126675,80.80960374424463,21.530069616089662
14,100,59.266169810042385,80.95221131947172,18.00192277252252
