gen,nevals,avg,std,min,max
0,30,0.6763565794964221,12.727778036086221,-9.27615159346757,41.38851120453171
1,78,11.213006550556203,23.66574780609792,-5.9560887327668945,63.16478037546135
2,80,22.3049055481114,21.7863588655664,-5.722943347759916,70.24027229306135
3,82,41.55228298406063,20.802465274976544,-5.739812904014187,70.24027229306135
4,77,54.10268423438581,18.701347146666574,9.390670960519508,70.4161012673075
5,81,59.40037822323256,13.974521578334581,18.70088230992225,70.79866445151728
6,83,58.14471799308297,13.798867187609702,20.824009495533243,77.63231104033827
7,79,58.16367573426525,13.518257154594858,28.291346655935865,77.5586602044582
8,84,54.822336769009304,12.730374848678961,34.00701185837782,70.38079514797525
9,83,60.623730651355075,10.220556756075053,35.665699734716185,70.6189877432418
10,79,64.73045452124516,8.648690094890423,41.34779778518247,70.54552504736034
11,81,65.49187693314998,10.15826650656481,34.07717870898291,70.69271342195509
12,84,67.17379423635381,7.742241284603247,41.56002419927612,70.72147580763414
13,83,65.19799024266948,9.845489473993505,35.28330409960138,70.49316437516453
14,84,63.22145976866463,11.347557673393775,37.92765587413194,70.34263707439317
15,81,65.5430643156906,8.17851790015294,37.95008442432805,70.8196933225906
