gen,nevals,avg,max,std
0,112,-3.269116614933402,45.403553706003294,9.161430793233482
1,112,1.4834554649670686,68.39883675426796,17.470695016050275
2,112,15.94928538179602,88.86999034370386,28.508745697494255
3,112,34.8172768794064,83.44951993096142,30.371222814302723
4,112,46.47674312559915,83.75913347539233,25.523732005991814
5,112,56.215618745198235,84.71343203526867,23.53959711110992
6,112,60.64906974944608,81.11610909853583,20.52767161485871
7,112,62.20089000030896,81.07919480312653,18.048331806221455
8,112,63.874054959012255,84.3230541353084,15.41712517068134
9,112,65.03902445817569,83.09167129447047,15.216222565032979
10,112,67.42492488577297,83.12618485411741,13.229999197491635
11,112,65.53541436825535,82.06846006934589,14.71373266249725
12,112,65.39860541132059,84.18528152130223,16.129349559450247
13,112,65.52323357363015,80.87937022547294,15.044430891577388
14,112,68.24826564068573,84.35646910900995,10.874616662164101
