gen,nevals,avg,max,std
0,112,6.906555294631602,84.38965356883627,21.645428416358605
1,112,20.165546394500918,80.26212576267783,25.872110268297522
2,112,28.762017148542505,80.80960374424463,29.779576267474223
3,112,40.80901782897213,81.6212547181163,30.432377252994623
4,112,43.4922285677754,80.48139775461958,27.130740395901885
5,112,54.852478189775375,80.83567112175021,23.29148459484027
6,112,55.70081051926833,80.87937022547294,24.485506396987194
7,112,57.980945153033865,80.98863344316561,23.63277380046017
8,112,59.94091564581672,82.38753511853118,20.06614555621796
9,112,60.523539803484205,80.87160790834668,19.772417332874706
10,112,57.065336293246595,80.87937022547294,24.010216113639643
11,112,57.809874328172285,89.58868118558757,23.9221411667192
12,112,57.68184065202469,88.92219677692815,24.76042247938431
13,112,55.71908093890233,80.87937022547294,26.05637541423567
14,112,60.14765463606102,88.29866499457574,22.827036595446845
