gen,nevals,avg,std,min,max
0,30,0.043924647450161794,16.493751950674305,-12.485783122469014,70.32991958274307
1,79,9.536969718818247,17.831611139694516,-5.844207167087623,63.20734248814769
2,81,26.902929382613927,24.802398821695142,-5.704062605414897,67.62642376822221
3,83,38.93298763519124,23.55663575454141,-5.840838019100187,70.15376489788407
4,82,53.44215121173731,15.262579373218243,10.625885171155996,70.4054336665572
5,82,61.0035118863897,10.774313811734892,38.225043670222846,70.24027229306135
6,81,57.52585328211568,13.84209361534685,25.119948285414043,70.35451519747733
7,84,57.59137682973552,13.23586153606922,33.96765195923108,73.78702330074834
8,85,59.68071925512363,11.407020058824475,33.96765195923108,77.47667764513807
9,85,57.84060219542708,13.430718505243732,33.96765195923108,70.27806736346363
10,76,67.98552243307464,5.844438230696395,41.43255158118079,70.35451519747733
11,81,63.58188244771689,10.954960872033174,30.692950987040586,70.32991958274307
12,81,59.049133893234504,13.290349161932339,37.91579312264358,70.35451519747733
13,82,64.2877842716873,10.109267036220247,35.235190268076295,70.35451519747733
14,83,67.68965873260845,8.218339659286062,34.07717870898291,70.35451519747733
15,82,67.06816709758088,9.012626844453598,37.95008442432805,70.62486324253413
