gen,nevals,avg,std,min,max
0,30,-0.8115051034206046,12.910064388438252,-6.287946927225533,41.507177814726816
1,83,4.455752970327847,17.74193996756105,-5.955539320210295,56.97399644059425
2,81,8.060196291290886,20.506229963192265,-5.828605645309757,70.31108634080219
3,85,15.547822621998376,22.806077627805028,-5.8379424617289875,70.31108634080219
4,85,20.541305362175095,22.50244210110623,-5.709582674694159,71.07820513510036
5,82,33.66530095377616,26.728703489126392,2.2774389824672197,87.3995644633866
6,77,29.092615641798975,22.53841298477524,-0.942659221986105,85.2663047565396
7,85,42.43877904693464,19.1493859901876,10.592395960175889,70.23774011100974
8,83,50.859451149739435,19.140650919261454,7.552254622674454,70.52865303998253
9,84,59.85111855820619,16.221408001891508,16.843338515242635,86.42500047397782
10,83,66.215756245843,12.156077839105423,37.218085132602035,86.42500047397782
11,81,62.65000494193102,15.139303012155377,10.860749784837466,86.42500047397782
12,82,60.48832772225826,14.293802069757966,30.680325174907214,77.51095878476568
13,82,62.91932904893163,14.069673777178698,16.920747706321706,85.86350498351732
14,84,58.63285343857324,15.25590433193714,30.641184893683654,70.42085053179707
15,82,60.41220444318124,15.265126189589608,30.355855353852856,70.39607972718719
