gen,nevals,avg,std,min,max
0,30,2.45703823926,21.546209673044093,-7.283963638559198,70.81452842997298
1,79,10.14618210414573,23.855106981135854,-5.834242770966102,70.49298169107725
2,83,17.214126674182733,22.493846804050868,-5.794508492642895,70.49345266209025
3,82,28.35767751872843,23.14862444257074,-6.002829849185852,70.38593598726351
4,84,41.43580488920353,24.777668956153043,3.3890825069162283,70.24027229306135
5,81,53.52505219308789,18.404697451828223,4.902078826260019,70.35451519747733
6,82,58.324142031675585,12.750805059616864,28.326635417407026,73.38175508728257
7,85,61.988837272664306,11.822928358231863,34.09141786428677,70.35451519747733
8,83,61.79814163999329,10.382486611535219,33.88378204121102,70.39696255891373
9,83,58.64757018992813,12.851297250999032,33.88378204121102,70.39696255891373
10,84,61.58074704987191,14.092152317198675,30.59742588004733,77.26531256904504
11,79,66.31876088547212,9.073819907619823,34.37977773987655,77.26531256904504
12,76,66.39942252695178,7.830534002094014,37.932898681765906,70.84701418161103
13,81,62.00320136312443,10.931737426737476,30.880181910738983,70.38466261667946
14,81,66.7160288106579,6.400507989631425,40.010480538210814,70.60597028474419
15,82,62.355644635469886,9.128465063806344,34.16491158088561,70.39803908440375
