gen,nevals,avg,max,std
0,167,4.39471053902684,87.24051580088754,21.269348185667724
1,167,19.68604372915961,88.0060022088945,29.16155855756361
2,167,41.777400093599546,90.31216036329934,31.558821021315264
3,167,46.19908116576376,89.39263431078027,31.61983669007565
4,167,52.03763687671666,90.98691315467303,30.016188407752036
5,167,54.0560141670801,90.30010572908228,30.55344383580786
6,167,63.450601149833126,91.80998410478125,23.458374440386976
7,167,62.8377098425075,90.05088281831999,23.223017934292287
8,167,64.48550918300488,91.69146764187997,22.09503954166802
9,167,65.79035371528917,91.26689321868011,19.404084285225068
10,167,67.27017329950179,91.38992565416667,21.424962945826877
11,167,69.05801774512676,91.74803220379152,21.925659324109255
12,167,68.58040067436325,90.60952780956896,16.453874051485332
13,167,67.07575843004066,91.41992565416668,22.004162962381027
14,167,69.93179841450284,91.1581392420525,18.364230658641294
15,167,70.76297185250903,91.3608403437306,17.16070237415827
16,167,73.27775402218094,92.02511791004974,15.866429755258306
17,167,72.63421071460289,91.36581446206208,18.314329349891562
18,167,74.50767405410173,91.66379864843287,16.004818276481753
19,167,73.19075760648694,91.77279224472034,17.5784866357148
20,167,73.58558647826658,91.72146764187997,17.786499557387327
21,167,73.48349694874997,91.73675490524724,17.683314740657963
22,167,72.89986792010623,91.53855023931261,18.634865726315915
23,167,72.88251871753916,91.48782275371033,17.682240301698876
24,167,73.15378961754283,91.80998410478125,18.71164524801809
25,167,73.43827480522806,91.63675490524724,19.7881820039286
26,167,73.10886084423355,91.68279224472033,19.474901493826312
27,167,74.0889727136186,91.69581446206206,21.167786463382996
28,167,74.65396531402007,91.71152077223273,19.10129029507879
29,167,75.60351726907182,91.78026059374206,17.35402061091099
