gen,nevals,avg,max,std
0,167,-4.523543049870106,-3.860674306308975,0.5483727622748316
1,167,-4.4154226627042075,26.07656598919981,2.462248828311706
2,167,-4.520272955147496,21.71012856728707,2.121092891461359
3,167,-4.275867483130823,48.883264595145626,4.16674978722316
4,167,-4.431248965493005,17.276730838201573,1.7831023072937453
5,167,-4.319097407026455,21.52882508160077,2.110231864118835
6,167,-4.389326241485408,30.408442505268752,2.867989434868107
7,167,-3.316746017451822,58.63852566227938,7.164036102100914
8,167,1.098364501875274,63.12022760893984,12.949054056420705
9,167,10.373789019627697,76.67469908586469,19.156671738077982
10,167,25.159850471540437,86.35130227017919,26.486280113267288
11,167,35.08256171151262,89.83568538442871,27.355120769153597
12,167,44.294457009340206,86.69958728960418,24.98265447834248
13,167,51.171144462065165,88.01958728960419,25.78665113068254
14,167,47.33614076310211,88.15089489058408,27.808389649976267
15,167,51.01471491046899,88.75336382763476,27.383761862054552
16,167,51.91095583897055,89.14492835450213,26.92838763783006
17,167,51.55242528245823,88.96568538442871,27.806047021903627
18,167,55.78684425236515,91.18332131383073,28.24071237281271
19,167,51.13538605813184,88.08847031605244,28.430276229663985
20,167,57.67236993306698,89.86806068580802,24.626811851688764
21,167,56.22702909969812,90.26265917278155,28.512846524857917
22,167,55.23279838706369,89.0880593187923,27.672839777888026
23,167,58.4316001791002,88.69573912901406,24.821303543180406
24,167,64.73616710071647,89.34978212903748,22.248586208360233
25,167,61.36686272676778,89.2056853844287,24.71122114088546
26,167,60.07833902798073,90.05975149027753,24.503498172503836
27,167,63.367762393563694,89.77806068580801,25.37105807782603
28,167,55.82412953163801,88.57410276751703,28.869204507816942
29,167,65.15486418173641,89.4780593187923,23.96936358975195
