gen,nevals,avg,max,std
0,100,6.527463366706922,76.49450859504846,23.114891283551916
1,100,17.782918102200306,78.16750472651295,30.117507910795076
2,100,35.91900336816742,80.20028989185083,31.942640372697362
3,100,39.09689978674574,86.7251517017654,30.173832753141223
4,100,46.407013968517816,87.3317427577543,26.680879817906046
5,100,44.929375915217506,80.4538674749373,29.01939347164877
6,100,48.532516410792006,80.87160790834668,26.81595843257061
7,100,53.76168972356808,81.13630767798305,24.60919436234935
8,100,56.244345109811036,86.53086612742754,23.202561803460956
9,100,61.809434945597886,85.05679447140632,18.515564954830463
10,100,60.08466589777176,89.78107250358073,19.864674228701833
11,100,60.05221440460743,88.70238235777047,24.307760078171977
12,100,59.06297864817989,87.33735028776125,22.44753010982387
13,100,61.275080891640094,88.17079604416278,21.267087925690355
14,100,64.06331052838013,86.3762791388347,15.668085896564369
