gen,nevals,avg,max,std
0,167,15.267456691616216,88.24651165371347,30.70577577220734
1,167,39.70559589440925,89.81885932702437,31.39273643469393
2,167,45.607434361391675,87.75687296251195,28.837830849716347
3,167,49.31694772334866,89.33722224341855,27.238280972356232
4,167,54.19063439362701,90.09583852910774,26.25819925578943
5,167,53.585078065366794,91.21972129461213,26.300744883857227
6,167,54.88624780193183,89.3111807650331,27.227429250701967
7,167,57.879907889878254,90.94753310731221,25.70132633051443
8,167,64.43262043067402,91.51554336029999,23.051263320240466
9,167,57.6630433817903,90.76179855769692,29.02975558712987
10,167,59.40878848608356,91.31753310731222,27.267721371429708
11,167,60.63165019955809,91.8108403437306,27.193198634350164
12,167,59.70358475195652,91.123714434414,27.740369293173874
13,167,61.61614037144853,91.52014294348858,27.07503411493546
14,167,62.84416360969557,91.52630327427839,28.157420091499386
15,167,65.35592891690261,91.5790750950255,24.504629801692186
16,167,64.75483790106571,91.61140610157841,26.599381381768136
17,167,65.00831152096391,91.75678584763565,23.54892907694756
18,167,68.05768440635497,91.79323289058506,22.346182150759887
19,167,63.262855227669405,91.79323289058506,28.691155765031763
20,167,62.6182166730187,91.71434017042841,26.70855182601992
21,167,63.17787891710424,91.61140610157841,27.112529272934182
22,167,64.49407791338642,91.78152077223274,27.77511275405714
23,167,64.85889746787912,91.58205592780743,29.055922962543328
24,167,69.10577667277299,91.6790750950255,24.40359228549969
25,167,69.73914782158268,91.6910750900848,24.560341031081638
26,167,74.153152474882,91.81152077223273,22.954132020370828
27,167,71.16826168360238,91.77774169672708,21.61536136462584
28,167,70.2628575474021,91.77201998065016,25.028862618243167
29,167,71.94081611168394,91.68374802623461,22.930539940610952
