gen,nevals,avg,max,std
0,100,-0.20395121898420623,71.82544508916634,15.096457258379843
1,100,5.552323076404488,78.30764032741145,19.909652469752956
2,100,20.199482968949884,77.98635370912774,22.1393296114466
3,100,35.483128911108395,80.84164300865824,27.236721664054485
4,100,50.97511211710614,81.43391438586937,24.37471920523273
5,100,52.957033400814716,81.31462425026179,21.872033215323953
6,100,60.22695716824271,80.96680413343391,16.20427677585349
7,100,61.073806973418705,84.15179044731674,17.487146354634454
8,100,61.18471983233466,81.54815069363254,16.060028530388145
9,100,62.3463298609767,81.74248827932854,16.299597853642876
10,100,64.65445093196884,82.24949116062378,18.154829912232938
11,100,62.335964806536,83.89426334430988,19.408821455525928
12,100,64.84572151933813,81.62390682665057,17.325947297494796
13,100,59.56935422438212,82.0213672292635,21.10648345994927
14,100,56.62711099591504,81.13133019615829,21.524171629997934
