gen,nevals,avg,max,std
0,167,0.4170116724228245,79.04500772385178,16.641893338637946
1,167,18.677888947178065,78.95952738147334,29.8230101175067
2,167,33.734618631856556,83.47825259448621,28.292938516110226
3,167,43.347683228402914,86.33441377622563,26.30524705426064
4,167,48.09534831481266,82.75237162720691,22.10329942917941
5,167,52.42670904614665,88.19447308166855,19.15402936228251
6,167,47.62962325604164,88.78336841769925,25.999123309182174
7,167,49.77481299125484,89.8482238862106,25.497366593933055
8,167,53.771892672416726,90.242312719294,24.242352931739514
9,167,48.53826859872821,89.58264670000938,26.19467802394091
10,167,54.34101425306189,88.44885796000867,22.982793325491023
11,167,54.78902196776055,90.69557083719044,26.906216690314164
12,167,59.10577015211007,89.71395058213994,24.234543439203687
13,167,58.67365108764003,91.04206758972359,22.416807084369392
14,167,59.389250284741706,90.28915615625627,25.73514930737441
15,167,67.56124280944802,91.48522843721891,18.76053013074642
16,167,61.109865676808994,91.48347212427342,25.055128297838724
17,167,57.213337728068765,90.17264670000938,26.381872518567103
18,167,59.53429086198015,91.29254051279403,26.450974071385335
19,167,64.55544789398519,90.23231271929401,21.35574502267132
20,167,67.21002055138463,89.9420500711243,21.14548966560015
21,167,70.52479616656667,90.86939811878477,18.92757322060769
22,167,70.730425014189,91.2878685797757,15.961776134550657
23,167,68.99768914633397,91.95109819631169,21.39723446944149
24,167,67.45410783255942,90.89468110266807,23.769175209857185
25,167,69.69302641531853,91.40707877857699,20.250283302595953
26,167,72.84903480366192,90.83044409068337,17.247771712471643
27,167,68.8338483099877,91.44176700952839,21.176258251607695
28,167,70.55978301831337,90.82581308487448,23.650427486723437
29,167,72.03101522439104,90.82020187309482,19.790815248183513
